Região,Município,UF,Lat,Long
Chapada de Minas,Senador Modestino Gonçalves,MG,-17.9476905,-43.2222039
Chapada de Minas,Fruta de Leite,MG,-16.1161174,-42.52676700000001
Chapada de Minas,Olhos-d`Água,MG,-17.4007437,-43.5723722
Chapada de Minas,Umburatiba,MG,-17.2538774,-40.5708289
Chapada de Minas,Bocaiúva,MG,-17.1113356,-43.82033149999999
Chapada de Minas,Crisólita,MG,-17.2387393,-40.9144526
Chapada de Minas,Indaiabira,MG,-15.4912501,-42.1993392
Chapada de Minas,Ladainha,MG,-17.6265515,-41.7367751
Chapada de Minas,Monte Formoso,MG,-16.8674749,-41.25550519999999
Chapada de Minas,Santa Cruz de Salinas,MG,-16.0983423,-41.74777419999999
Chapada de Minas,Senhora do Porto,MG,-18.8925784,-43.0839612
Chapada de Minas,Galiléia,MG,-18.9991523,-41.5385044
Chapada de Minas,Ouro Verde de Minas,MG,-18.0697305,-41.2704347
Chapada de Minas,Verdelândia,MG,-15.5946932,-43.6004327
Matas de Minas (Indicação de Procedência),Abre Campo,MG,-20.3016635,-42.4783552
Matas de Minas (Indicação de Procedência),Carangola,MG,-20.7351246,-42.0291428
Matas de Minas (Indicação de Procedência),Entre Folhas,MG,-19.6252956,-42.2328266
Matas de Minas (Indicação de Procedência),Miradouro,MG,-20.8901602,-42.3435982
Matas de Minas (Indicação de Procedência),Piedade de Caratinga,MG,-19.7600045,-42.0775683
